Algoritmo,Porcentaje de coincidencia promedio,Porcentaje de reduccion,Fitness,Tiempo de ejecucion
ES,92.85714285714286,59.09090909090909,84.41558441558442,0.5666284561157227
ILS-ES,86.14285714285714,36.36363636363637,73.69805194805195,6.78261399269104
BMB-ES,90.71428571428572,68.18181818181817,85.08116883116882,5.5508131980896
ES_modf,92.21428571428572,54.54545454545454,82.79707792207792,0.3025321960449219
AGG BLX,91.92857142857142,81.81818181818183,89.40097402597401,8.008609533309937
AGG Arit.,85.71428571428571,86.36363636363636,85.87662337662337,7.924827575683594
AGE BLX,92.35714285714286,54.54545454545454,82.90422077922078,8.50032925605774
AGE Arit.,92.35714285714286,54.54545454545454,82.90422077922078,8.51520037651062
AM-All,90.85714285714286,86.36363636363636,89.73376623376623,8.067964553833008
AM-Rand,94.85714285714286,72.72727272727273,89.32467532467533,8.401801347732544
AM-Best,91.35714285714286,86.36363636363636,90.10876623376625,8.323425054550171
BMB,92.85714285714286,63.63636363636363,85.55194805194805,8.536081075668335
ILS,91.78571428571428,45.45454545454545,80.20292207792208,8.715967416763306
ES,93.85714285714286,50.0,82.89285714285714,0.2720284461975097
ILS-ES,90.78571428571428,31.818181818181817,76.04383116883118,5.388884782791138
BMB-ES,92.71428571428572,63.63636363636363,85.44480519480518,5.065480947494507
ES_modf,91.35714285714286,54.54545454545454,82.15422077922078,0.26402997970581055
